"","treeID","nodeID","parmID","contPT","mwcpSZ"
"346",7,3,1,65,0
"347",7,3,1,50,0
"348",7,3,1,47,0
"349",7,3,1,46,0
"350",7,3,1,43,0
"351",7,3,0,NA,0
"352",7,10,0,NA,0
"353",7,9,0,NA,0
"354",7,8,1,49,0
"355",7,8,0,NA,0
"356",7,11,0,NA,0
"357",7,7,1,58,0
"358",7,7,1,52,0
"359",7,7,0,NA,0
"360",7,13,1,53,0
"361",7,13,0,NA,0
"362",7,14,1,55,0
"363",7,14,1,54,0
"364",7,14,0,NA,0
"365",7,16,0,NA,0
"366",7,15,0,NA,0
"367",7,12,1,61,0
"368",7,12,1,60,0
"369",7,12,0,NA,0
"370",7,18,0,NA,0
"371",7,17,1,63,0
"372",7,17,1,62,0
"373",7,17,0,NA,0
"374",7,20,0,NA,0
"375",7,19,1,64,0
"376",7,19,0,NA,0
"377",7,21,0,NA,0
"378",7,6,0,NA,0
"379",7,2,1,71,0
"380",7,2,1,68,0
"381",7,2,1,67,0
"382",7,2,0,NA,0
"383",7,24,0,NA,0
"384",7,23,1,69,0
"385",7,23,0,NA,0
"386",7,25,1,70,0
"387",7,25,0,NA,0
"388",7,26,0,NA,0
"389",7,22,1,72,0
"390",7,22,0,NA,0
"391",7,27,0,NA,0
"392",8,1,1,35,0
"393",8,1,0,NA,0
"394",8,2,1,66,0
"395",8,2,1,54,0
"396",8,2,1,53,0
"397",8,2,1,39,0
"398",8,2,1,38,0
"399",8,2,0,NA,0
"400",8,7,0,NA,0
"401",8,6,1,43,0
"402",8,6,1,42,0
"403",8,6,0,NA,0
"404",8,9,0,NA,0
"405",8,8,1,44,0
"406",8,8,0,NA,0
"407",8,10,1,49,0
"408",8,10,1,48,0
"409",8,10,1,46,0
"410",8,10,0,NA,0
"411",8,13,0,NA,0
"412",8,12,0,NA,0
"413",8,11,1,51,0
"414",8,11,0,NA,0
"415",8,14,1,52,0
"416",8,14,0,NA,0
"417",8,15,0,NA,0
"418",8,5,0,NA,0
