"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"38",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"39",15,13,14,15,14,13,13,15,9,13,15,13,14,17,4,14,18,13,16,12,13,13,17,17,14,15,15,15,11,14,12,9,12,12,15,14,9,17,9,12,12,14,18,13,11,17,13,15,13,15,16,15,9,3,14,18,16,13,13,12,16,12,18,5,13,14,16,14,17,3,18,13,12,12,11,16,16,10,4,12,19,15,14,16,12,16,14,11,16,17,16,16,11,13,8,18,14,14,14,12
"40",20,17,22,17,23,19,17,21,20,19,22,19,16,20,12,16,19,19,21,18,19,22,23,22,18,22,21,20,18,22,16,16,19,19,18,19,20,20,18,17,19,17,20,16,12,22,16,21,14,23,19,22,19,16,21,20,17,20,17,17,20,19,19,17,17,19,20,16,22,12,20,19,17,21,19,17,27,18,15,14,22,20,20,19,17,20,23,18,22,18,19,19,18,19,20,22,24,18,19,18
"41",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"42",10,23,18,28,27,2,22,24,26,29,31,27,19,27,25,27,25,26,19,28,28,3,30,30,28,29,30,29,27,29,2,15,2,22,3,28,32,2,26,25,28,28,30,24,25,28,27,2,27,28,22,31,2,25,2,2,2,26,23,28,29,22,3,29,28,29,27,25,30,2,31,26,8,27,16,29,33,20,28,23,32,2,28,25,16,29,3,29,19,29,24,18,27,26,16,32,30,22,29,3
"43",9,10,11,12,6,8,8,13,11,16,12,10,8,10,10,6,4,7,3,10,6,10,7,10,11,9,12,14,9,6,10,8,5,4,5,7,16,12,12,8,10,11,13,9,9,16,10,12,8,4,4,13,11,13,5,12,8,8,9,11,11,11,12,11,4,3,11,7,13,7,6,9,9,13,10,10,14,13,12,3,17,9,3,3,6,6,12,14,8,12,11,12,10,11,12,15,11,13,3,9
"44",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
"45",27,25,29,24,25,24,2,3,25,24,21,23,27,24,23,25,2,22,29,22,2,26,27,25,26,24,24,24,22,26,22,24,24,24,24,4,23,24,17,2,27,24,27,22,21,27,19,26,23,26,30,28,23,15,24,29,5,23,2,24,24,29,24,23,24,26,25,21,26,27,26,24,23,23,25,24,30,26,24,18,30,6,18,26,20,25,13,20,28,25,22,25,24,2,25,29,29,24,27,27
"46",21,18,20,18,22,20,18,18,8,20,23,20,18,21,13,17,20,17,22,19,20,17,21,20,19,21,20,21,17,21,17,17,17,20,20,20,22,21,19,18,20,18,21,18,14,23,17,21,18,21,20,23,20,17,19,21,18,21,18,18,21,20,20,18,18,20,21,5,11,19,21,20,18,17,20,19,25,19,18,15,23,21,21,20,18,21,24,19,21,19,5,20,19,20,21,23,24,19,20,19
"47",22,19,21,19,20,17,12,19,19,11,24,3,17,4,18,18,13,18,23,20,21,19,22,21,20,4,17,19,3,20,20,18,18,18,19,5,21,19,2,19,21,19,23,17,15,24,18,3,17,22,21,21,17,20,20,19,6,18,19,3,9,21,14,19,2,23,3,11,11,20,22,12,14,4,21,18,24,3,17,9,21,13,2,22,19,22,25,6,11,20,17,2,20,21,22,8,22,20,21,20
